h_out (W/m2K),insulation (mm),water (L),C_total (J/K),R_total (K/W),tau (s),tau (hours),t90 (hours)
5,20,0,17136,0.7778,13327,3.7,8.52
5,20,2,25508,0.7778,19839,5.51,12.69
5,20,5,38066,0.7778,29606,8.22,18.94
5,20,10,58996,0.7778,45885,12.75,29.35
5,50,0,17136,1.6111,27608,7.67,17.66
5,50,2,25508,1.6111,41096,11.42,26.29
5,50,5,38066,1.6111,61328,17.04,39.23
5,50,10,58996,1.6111,95049,26.4,60.79
5,100,0,17136,3.0,51408,14.28,32.88
5,100,2,25508,3.0,76524,21.26,48.95
5,100,5,38066,3.0,114198,31.72,73.04
5,100,10,58996,3.0,176988,49.16,113.2
