date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,daylight_duration,sunshine_duration,sunset,sunrise,weather_code,shortwave_radiation_sum,apparent_temperature_min,apparent_temperature_mean,apparent_temperature_max
2020-12-31 22:00:00+00:00,2.402917,6.0675,-1.1325,28330.09,18344.105,1609515720,1609487385,51.0,2.25,-4.2352824,-0.89787894,2.8469296
2021-01-01 22:00:00+00:00,2.5841668,6.1175003,-0.73249996,28404.092,22573.424,1609602186,1609573776,3.0,3.03,-3.9940577,-0.12604542,4.161254
2021-01-02 22:00:00+00:00,1.92375,4.1675,-0.4825,28483.78,8321.272,1609688654,1609660164,3.0,1.96,-3.796237,-1.8408289,0.07726669
2021-01-03 22:00:00+00:00,2.7404165,3.3675,2.1175,28569.025,0.0,1609775124,1609746549,51.0,0.93,-2.886336,-2.2708592,-1.5176923
2021-01-04 22:00:00+00:00,2.5404165,3.9175,1.6175,28659.717,963.2047,1609861596,1609832930,51.0,1.48,-2.913598,-1.8402652,-0.5333493
2021-01-05 22:00:00+00:00,2.1591666,3.3675,0.7175,28755.73,1683.7638,1609948070,1609919307,51.0,1.92,-2.355373,-1.3859979,0.32989264
2021-01-06 22:00:00+00:00,2.6299999,4.0675,1.0174999,28856.938,0.0,1610034546,1610005681,53.0,1.19,-2.1278543,-1.0155092,0.627265
2021-01-07 22:00:00+00:00,2.4758332,4.6175003,-1.8325,28963.395,18941.775,1610121023,1610092052,53.0,2.93,-5.436778,-0.5928102,2.005137
2021-01-08 22:00:00+00:00,0.11958337,4.6675,-2.7325,29076.254,14756.996,1610207503,1610178419,3.0,2.84,-6.0622954,-3.286171,1.712163
2021-01-09 22:00:00+00:00,1.5404166,3.9175,-0.98249996,29195.559,18033.11,1610293986,1610264782,3.0,2.38,-4.553071,-1.9511677,0.2573948
2021-01-10 22:00:00+00:00,4.5800004,7.0175004,2.4675,29321.01,0.0,1610380472,1610351142,53.0,1.31,-2.0972576,-0.22836427,1.9139657
2021-01-11 22:00:00+00:00,6.194584,8.4175,2.3174999,29452.312,15944.793,1610466961,1610437499,61.0,2.65,-1.3896217,1.6332387,3.7632847
2021-01-12 22:00:00+00:00,4.1529164,5.6675,2.5175,29589.172,23631.184,1610553452,1610523852,3.0,4.29,-1.6274679,-0.1799946,1.5888782
2021-01-13 22:00:00+00:00,2.4175,5.7175,0.5675,29731.305,0.0,1610639945,1610610203,51.0,1.65,-4.52306,-1.5106615,2.0150785
